id,place,tag_list,count,avg_score,first_tag,second_tag,third_tag,fourth_tag,fifth_tag
1891,한솔요리학원 - 종로3가점,"['요리', '강좌', '재미', '먹다']",1,5.0,요리,강좌,재미,먹다,먹다
1934,서울 펍 크롤,"['친구', '재미', '이벤트', '가격', '돈', '먹다', '문화']",116,4.905172414,친구,재미,이벤트,가격,가격
1935,앱솔루트 서울 펍 크롤,"['친구', '재미', '문화', '게임', '활동', '가격', '싸다, 저렴하다']",46,4.891304348,친구,재미,문화,게임,게임
1936,GSM테라스,"['친구', '강좌', '재미', '싸다, 저렴하다', '먹다', '문화', '비싸다']",49,4.775510204,친구,강좌,재미,"싸다, 저렴하다","싸다, 저렴하다"
1937,우드스탁,"['먹다', '휴식', '재미', '호텔', '친구', '음식, 식사', '강좌']",25,4.72,먹다,휴식,재미,호텔,호텔
1938,올댓재즈,"['음식, 식사', '공연', '가격', '호텔', '싸다, 저렴하다', '비싸다', '먹다']",27,4.37037037,"음식, 식사",공연,가격,호텔,호텔
1939,믹스 & 몰트,"['음식, 식사', '먹다', '가격', '아이', '휴식', '친구', '돈']",19,4.947368421,"음식, 식사",먹다,가격,아이,아이
1940,르챔버,"['싸다, 저렴하다', '가격', '비싸다', '먹다', '음식, 식사', '휴식', '친구']",22,4.318181818,"싸다, 저렴하다",가격,비싸다,먹다,먹다
1941,오케이 퐁퐁,"['친구', '먹다', '재미', '싸다, 저렴하다', '게임', '음식, 식사', '가격']",23,4.9130434780000005,친구,먹다,재미,"싸다, 저렴하다","싸다, 저렴하다"
1942,골목바이닐앤펍,"['싸다, 저렴하다', '음식, 식사', '가격']",7,4.1428571430000005,"싸다, 저렴하다","음식, 식사",가격,Nan,Nan
1943,번,"['가격', '휴식', '싸다, 저렴하다', '비싸다', '친구', '먹다', '돈']",17,4.117647058999999,가격,휴식,"싸다, 저렴하다",비싸다,비싸다
1944,소프 서울,"['재미', '친구', '영화', '휴식', '공연']",9,4.333333333,재미,친구,영화,휴식,휴식
1945,레솔베르 시가샵 & 시가라운지,"['휴식', '가격']",4,5.0,휴식,가격,Nan,Nan,Nan
1946,마익스 케빈,"['싸다, 저렴하다', '가격', '재미', '친구', '먹다', '관광지', '강좌']",16,4.125,"싸다, 저렴하다",가격,재미,친구,친구
1947,클라시코,"['친구', '먹다', '궁전']",3,5.0,친구,먹다,궁전,Nan,Nan
1948,더연카페 & 바,[],1,5.0,Nan,Nan,Nan,Nan,Nan
1949,엔비투,"['돈', '친구', '재미', '싸다, 저렴하다', '가격', '활동', '콘서트']",9,3.5555555560000003,돈,친구,재미,"싸다, 저렴하다","싸다, 저렴하다"
1950,클럽 베라,['가격'],5,4.2,가격,Nan,Nan,Nan,Nan
1951,로드,"['음식, 식사', '먹다', '아이']",5,4.6,"음식, 식사",먹다,아이,Nan,Nan
1952,bar Cham,"['비싸다', '싸다, 저렴하다', '요리']",3,5.0,비싸다,"싸다, 저렴하다",요리,Nan,Nan
1953,파우스트 탄즈바,"['공연', '문화']",3,5.0,공연,문화,Nan,Nan,Nan
1954,옐로우자켓 뮤직바,"['친구', '휴식', '공연']",4,4.5,친구,휴식,공연,Nan,Nan
1955,더블에잇,"['친구', '휴식']",2,5.0,친구,휴식,Nan,Nan,Nan
1956,레인보우,"['돈', '먹다', '휴식', '공연']",5,4.4,돈,먹다,휴식,공연,공연
1957,커피 방앗간,"['음식, 식사']",1,5.0,"음식, 식사",Nan,Nan,Nan,Nan
1959,클럽 보니따 서울,[],2,4.0,Nan,Nan,Nan,Nan,Nan
1960,오아시스,['휴식'],2,5.0,휴식,Nan,Nan,Nan,Nan
1961,부기우기,"['공연', '친구', '먹다']",3,4.333333333,공연,친구,먹다,Nan,Nan
1962,마미블루,"['공연', '먹다']",2,5.0,공연,먹다,Nan,Nan,Nan
1963,De La Mano,[],2,5.0,Nan,Nan,Nan,Nan,Nan
1964,클럽 에프에프,"['가격', '콘서트']",2,4.5,가격,콘서트,Nan,Nan,Nan
1965,마콘도,[],1,5.0,Nan,Nan,Nan,Nan,Nan
1966,메이드인퐁당,[],1,4.0,Nan,Nan,Nan,Nan,Nan
1967,제이앤제이슨,"['체험', '공연']",2,5.0,체험,공연,Nan,Nan,Nan
1968,클럽 플렉스,['친구'],1,5.0,친구,Nan,Nan,Nan,Nan
1971,락휴코인노래연습장 건대점,"['싸다, 저렴하다', '친구']",3,3.666666667,"싸다, 저렴하다",친구,Nan,Nan,Nan
1972,보바베어,['호텔'],1,5.0,호텔,Nan,Nan,Nan,Nan
1973,더 소울 바이 제스,"['가격', '싸다, 저렴하다']",2,3.5,가격,"싸다, 저렴하다",Nan,Nan,Nan
1974,After Dark,"['싸다, 저렴하다', '비싸다', '예술']",1,5.0,"싸다, 저렴하다",비싸다,예술,Nan,Nan
1976,박스스튜디오,['상품'],1,5.0,상품,Nan,Nan,Nan,Nan
1977,와이낫,['친구'],1,5.0,친구,Nan,Nan,Nan,Nan
1978,헐리우드 그릴,"['싸다, 저렴하다', '음식, 식사', '가격']",1,4.0,"싸다, 저렴하다","음식, 식사",가격,Nan,Nan
1979,클럽 앤써,"['음식, 식사', '호텔']",3,4.666666667,"음식, 식사",호텔,Nan,Nan,Nan
1980,Bar 31B,"['음식, 식사']",1,5.0,"음식, 식사",Nan,Nan,Nan,Nan
1981,마익스케빈신촌,"['재미', '게임']",1,5.0,재미,게임,Nan,Nan,Nan
1982,클럽 디스타,['재미'],1,5.0,재미,Nan,Nan,Nan,Nan
1983,몽키비치 서울,[],1,5.0,Nan,Nan,Nan,Nan,Nan
1985,Minglecup,['재미'],1,4.0,재미,Nan,Nan,Nan,Nan
1986,더 방갈로,"['친구', '싸다, 저렴하다', '비싸다', '음식, 식사', '먹다', '이벤트', '자연']",8,3.0,친구,"싸다, 저렴하다",비싸다,"음식, 식사","음식, 식사"
1987,라 끌레,[],1,4.0,Nan,Nan,Nan,Nan,Nan
1988,찰스 에이치.,[],1,4.0,Nan,Nan,Nan,Nan,Nan
1989,재즈잇업,"['친구', '가격', '유익하다']",1,4.0,친구,가격,유익하다,Nan,Nan
1990,바 마리오,"['친구', '음식, 식사']",2,5.0,친구,"음식, 식사",Nan,Nan,Nan
1991,카페 유후인,"['강좌', '음식, 식사', '휴식']",1,5.0,강좌,"음식, 식사",휴식,Nan,Nan
1992,Show Am 7,"['재미', '관광지']",1,5.0,재미,관광지,Nan,Nan,Nan
1993,클럽 옥타곤,"['친구', '재미', '싸다, 저렴하다', '비싸다', '호텔', '돈', '가격']",30,3.566666667,친구,재미,"싸다, 저렴하다",비싸다,비싸다
1994,역삼(이층)맥주창고,"['음식, 식사', '재미', '친구', '문화']",4,4.5,"음식, 식사",재미,친구,문화,문화
1995,뱀파이어 홍대,[],1,5.0,Nan,Nan,Nan,Nan,Nan
1996,클럽 엠투,['재미'],2,2.5,재미,Nan,Nan,Nan,Nan
1997,My Boss is Watching,"['가격', '호텔']",1,2.0,가격,호텔,Nan,Nan,Nan
1998,팁시래빗츠,"['재미', '음식, 식사']",2,5.0,재미,"음식, 식사",Nan,Nan,Nan
2000,브릭스,[],1,3.0,Nan,Nan,Nan,Nan,Nan
2001,커피프린스 1호점,"['음식, 식사', '싸다, 저렴하다', '비싸다', '가격', '친구', '먹다', '관광지']",31,2.225806452,"음식, 식사","싸다, 저렴하다",비싸다,가격,가격
2002,소울 트레인 빈티지 뮤직 라운지,['재미'],4,4.5,재미,Nan,Nan,Nan,Nan
2003,클럽 페이스,"['친구', '재미', '싸다, 저렴하다', '가격', '자연', '여유']",10,3.0,친구,재미,"싸다, 저렴하다",가격,가격
2005,클럽 버닝썬,"['먹다', '영화', '호텔']",2,5.0,먹다,영화,호텔,Nan,Nan
2007,클럽 매스,"['친구', '재미', '커플', '공연']",11,2.454545455,친구,재미,커플,공연,공연
2032,북한산 국립공원,"['공원', '음식, 식사', '자연', '산책', '먹다', '휴식', '풍경']",424,4.6320754719999995,공원,"음식, 식사",자연,산책,산책
2033,여의도 한강공원,"['공원', '음식, 식사', '휴식', '산책', '친구', '먹다', '가족']",298,4.5,공원,"음식, 식사",휴식,산책,산책
2034,한강 공원,"['공원', '산책', '휴식', '먹다', '음식, 식사', '가족', '관광지']",775,4.495483871,공원,산책,휴식,먹다,먹다
2035,하늘공원,"['공원', '산책', '경기', '자연', '가족', '풍경', '나들이']",132,4.477272727,공원,산책,경기,자연,자연
2036,남산 공원,"['공원', '산책', '경기', '자연', '가족', '풍경', '나들이']",736,4.3505434780000005,공원,산책,경기,자연,자연
2037,여의도 공원,"['공원', '산책', '음식, 식사', '휴식', '먹다', '가족', '호텔']",306,4.330065359,공원,산책,"음식, 식사",휴식,휴식
2038,서울 어린이 대공원,"['아이', '공원', '박물관', '가족', '음식, 식사', '재미', '먹다']",205,4.336585366,아이,공원,박물관,가족,가족
2039,낙산공원,"['공원', '산책', '먹다', '커플', '음식, 식사', '풍경', '친구']",130,4.292307692,공원,산책,먹다,커플,커플
2040,롯데월드 아쿠아리움,"['아쿠아리움', '아이', '가격', '쇼핑', '싸다, 저렴하다', '가족', '음식, 식사']",68,4.147058824,아쿠아리움,아이,가격,쇼핑,쇼핑
2041,동대문 역사 문화 공원,"['공원', '쇼핑', '역사', '문화', '전시관', '산책', '먹다']",72,4.0138888889999995,공원,쇼핑,역사,문화,문화
2042,코엑스 아쿠아리움,"['아이', '아쿠아리움', '재미', '싸다, 저렴하다', '쇼핑', '비싸다', '가격']",317,4.1356466880000005,아이,아쿠아리움,재미,"싸다, 저렴하다","싸다, 저렴하다"
2043,석촌호수,"['산책', '음식, 식사', '공연', '공원', '휴식', '먹다', '친구']",45,4.488888889,산책,"음식, 식사",공연,공원,공원
2044,인왕산,"['궁전', '풍경', '휴식', '산책', '공원', '자연', '재미']",45,4.488888889,궁전,풍경,휴식,산책,산책
2045,선유도 공원,"['공원', '산책', '휴식', '음식, 식사', '커플', '나들이', '가족']",38,4.289473684,공원,산책,휴식,"음식, 식사","음식, 식사"
2046,용산 가족 공원,"['공원', '가족', '박물관', '아이', '산책', '나들이', '음식, 식사']",29,4.448275862,공원,가족,박물관,아이,아이
2047,아차산,"['공원', '산책', '아이', '친구', '풍경', '관광지', '경기']",25,4.4,공원,산책,아이,친구,친구
2048,서울식물원,"['공원', '아이', '산책', '가족', '재미', '커플', '싸다, 저렴하다']",18,4.444444444,공원,아이,산책,가족,가족
2049,꿈의 숲,"['공원', '산책', '아이', '가족', '휴식', '전망대', '커플']",22,4.6363636360000005,공원,산책,아이,가족,가족
2050,양재 시민 공원,"['산책', '공원', '휴식', '관광지', '아이', '가족', '커플']",21,4.428571429,산책,공원,휴식,관광지,관광지
2051,탑골 공원,"['공원', '역사', '휴식', '호텔', '싸다, 저렴하다', '관광지', '전시관']",32,3.5625,공원,역사,휴식,호텔,호텔
2052,경의선숲길,"['음식, 식사', '공원', '먹다', '산책', '친구', '가족', '쇼핑']",19,4.263157895,"음식, 식사",공원,먹다,산책,산책
2053,보라매 공원,"['공원', '산책', '아이', '분수', '가족', '재미', '음식, 식사']",22,4.409090909,공원,산책,아이,분수,분수
2054,응봉산,"['휴식', '풍경', '아이', '친구', '강좌', '먹다', '음식, 식사']",16,4.5,휴식,풍경,아이,친구,친구
2055,도산 공원,"['공원', '음식, 식사', '산책', '휴식', '먹다', '미술관', '역사']",21,4.0476190480000005,공원,"음식, 식사",산책,휴식,휴식
2057,뚝섬 한강공원 수영장,"['공원', '호텔', '아이', '싸다, 저렴하다', '음식, 식사', '휴식', '관광지']",16,4.25,공원,호텔,아이,"싸다, 저렴하다","싸다, 저렴하다"
2058,송파나루공원,"['공원', '산책', '음식, 식사', '쇼핑', '가족', '비싸다', '먹다']",9,4.555555556,공원,산책,"음식, 식사",쇼핑,쇼핑
2059,몽마르뜨 공원,"['공원', '산책', '휴식', '싸다, 저렴하다', '가족', '먹다', '음식, 식사']",19,4.473684211,공원,산책,휴식,"싸다, 저렴하다","싸다, 저렴하다"
2060,홍릉 수목원,"['산책', '자연', '휴식', '나들이', '음식, 식사', '가족', '돈']",17,4.352941176,산책,자연,휴식,나들이,나들이
2061,여의도 샛강 생태 공원,"['공원', '산책', '강좌', '휴식', '여유', '관광지', '돈']",12,4.416666667,공원,산책,강좌,휴식,휴식
2062,63 시월드,"['아쿠아리움', '아이', '전망대', '구매', '싸다, 저렴하다', '가격', '돈']",35,3.571428571,아쿠아리움,아이,전망대,구매,구매
2063,와룡 공원,"['공원', '산책', '휴식', '재미', '먹다', '전망대']",11,4.3636363639999995,공원,산책,휴식,재미,재미
2064,장충단공원,"['공원', '산책', '아이', '호텔', '먹다', '음식, 식사', '휴식']",12,4.25,공원,산책,아이,호텔,호텔
2065,삼청공원,"['아이', '공원', '산책', '음식, 식사', '휴식', '가족', '친구']",4,4.5,아이,공원,산책,"음식, 식사","음식, 식사"
2066,수성동 계곡,"['산책', '재미', '휴식', '미술', '미술관', '싸다, 저렴하다', '먹다']",9,4.555555556,산책,재미,휴식,미술,미술
2067,마로니에 공원,"['공원', '공연', '예술', '휴식', '미술관', '미술', '자연']",15,3.5333333330000003,공원,공연,예술,휴식,휴식
2068,낙성대공원,"['공원', '산책', '아이', '휴식', '가족', '먹다', '자연']",12,4.25,공원,산책,아이,휴식,휴식
2069,청운공원,"['공원', '풍경', '산책', '아이', '음식, 식사', '자연', '먹다']",6,4.5,공원,풍경,산책,아이,아이
2070,광나루 한강공원,"['공원', '여유', '먹다']",2,4.5,공원,여유,먹다,Nan,Nan
2071,용마폭포공원,"['공원', '아이', '관광지', '경기', '휴식']",3,4.666666667,공원,아이,관광지,경기,경기
2072,길동생태공원,"['자연', '공원', '산책', '아이', '휴식']",4,4.5,자연,공원,산책,아이,아이
2073,남산야외식물원,"['음식, 식사', '아이', '공원', '산책', '체험', '호텔', '자연']",4,4.25,"음식, 식사",아이,공원,산책,산책
2074,수락산,['휴식'],5,4.2,휴식,Nan,Nan,Nan,Nan
2075,서대문독립공원,"['공원', '박물관', '역사', '휴식']",2,4.0,공원,박물관,역사,휴식,휴식
2076,백범광장,"['공원', '시장', '산책', '관광지', '휴식', '호텔']",5,4.0,공원,시장,산책,관광지,관광지
2077,사직 공원,"['공원', '궁전', '역사', '휴식', '가족', '아이', '여유']",8,3.75,공원,궁전,역사,휴식,휴식
2078,사육신공원,"['공원', '산책', '음식, 식사', '싸다, 저렴하다', '먹다', '휴식', '시장']",6,3.666666667,공원,산책,"음식, 식사","싸다, 저렴하다","싸다, 저렴하다"
2079,서서울호수공원,"['공원', '산책', '분수', '관광지', '아이']",4,4.25,공원,산책,분수,관광지,관광지
2080,북악산,"['관광지', '궁전', '구매']",2,4.5,관광지,궁전,구매,Nan,Nan
2081,서울의 산과 공원,"['공원', '산책', '친구', '휴식', '풍경']",3,4.666666667,공원,산책,친구,휴식,휴식
2082,푸른수목원,"['자연', '나들이']",1,5.0,자연,나들이,Nan,Nan,Nan
2083,서울창포원,"['공원', '음식, 식사', '아이', '산책', '커플', '풍경', '관광지']",4,4.0,공원,"음식, 식사",아이,산책,산책
2084,백사실 계곡,"['궁전', '재미', '음식, 식사', '산책', '여유', '관광지']",4,4.25,궁전,재미,"음식, 식사",산책,산책
2085,홍제천 인공폭포,"['산책', '공원']",1,5.0,산책,공원,Nan,Nan,Nan
2086,잠원한강공원,"['공원', '산책']",1,4.0,공원,산책,Nan,Nan,Nan
2087,효창공원,"['공원', '싸다, 저렴하다', '활동', '박물관', '역사']",1,5.0,공원,"싸다, 저렴하다",활동,박물관,박물관
2089,우면산,['예술'],2,4.5,예술,Nan,Nan,Nan,Nan
2090,종묘광장공원,"['공원', '게임', '구매', '산책']",3,3.0,공원,게임,구매,산책,산책
2091,당남리섬,['가족'],1,5.0,가족,Nan,Nan,Nan,Nan
2093,서울장미공원,"['공원', '관광지', '산책']",1,5.0,공원,관광지,산책,Nan,Nan
2094,솔밭근린공원,"['공원', '관광지', '아이', '휴식']",1,5.0,공원,관광지,아이,휴식,휴식
2095,앙카라 공원,"['공원', '관광지']",1,3.0,공원,관광지,Nan,Nan,Nan
2097,일감호,['산책'],2,4.0,산책,Nan,Nan,Nan,Nan
2099,거여공원,"['공원', '산책']",1,4.0,공원,산책,Nan,Nan,Nan
2101,서소문공원,"['공원', '역사', '시장', '전시관', '관광지']",1,3.0,공원,역사,시장,전시관,전시관
2103,Hullyeonwon Park,"['공원', '휴식']",1,3.0,공원,휴식,Nan,Nan,Nan
2126,락스타클라이밍 송파 - 일일 체험,"['재미', '가격']",2,5.0,재미,가격,Nan,Nan,Nan
2127,리얼케이팝댄스,"['강좌', '재미', '활동']",1,5.0,강좌,재미,활동,Nan,Nan
2128,이본느모건,"['싸다, 저렴하다', '강좌']",1,5.0,"싸다, 저렴하다",강좌,Nan,Nan,Nan
2129,한국문화의집 코우스,"['체험', '문화', '공예', '활동', '공연']",1,5.0,체험,문화,공예,활동,활동
2193,명동난타극장,"['재미', '공연', '아이', '음식, 식사', '가족', '싸다, 저렴하다', '먹다']",126,4.523809524,재미,공연,아이,"음식, 식사","음식, 식사"
2194,쿠킹 난타,"['공연', '재미', '음식, 식사', '아이', '가족', '싸다, 저렴하다', '가격']",96,4.65625,공연,재미,"음식, 식사",아이,아이
2195,쿠킹 난타,"['재미', '공연', '아이', '요리', '가족', '엔터테인먼트', '싸다, 저렴하다']",373,4.568364611,재미,공연,아이,요리,요리
2196,점프! 코믹 무술 퍼포먼스,"['재미', '공연', '아이', '가족', '가격', '예술', '먹다']",55,4.345454545,재미,공연,아이,가족,가족
2197,정동극장,"['공연', '궁전', '예술', '문화', '음식, 식사', '친구', '재미']",30,4.666666667,공연,궁전,예술,문화,문화
2198,홍대난타전용극장,"['공연', '재미', '친구', '싸다, 저렴하다', '음식, 식사', '구매', '관광지']",29,4.551724138,공연,재미,친구,"싸다, 저렴하다","싸다, 저렴하다"
2199,세종 문화 회관,"['공연', '문화', '전시관', '예술', '콘서트', '음식, 식사', '미술관']",37,4.324324324,공연,문화,전시관,예술,예술
2200,뮤지컬 셰프,"['공연', '재미', '음식, 식사', '싸다, 저렴하다', '문화', '역사', '요리']",16,4.6875,공연,재미,"음식, 식사","싸다, 저렴하다","싸다, 저렴하다"
2201,쿠킹 난타,"['재미', '공연', '가격', '싸다, 저렴하다', '구매', '친구', '가족']",12,4.75,재미,공연,가격,"싸다, 저렴하다","싸다, 저렴하다"
2202,클라이브,"['콘서트', '공연', '쇼핑', '싸다, 저렴하다', '상품', '음식, 식사', '구매']",14,3.714285714,콘서트,공연,쇼핑,"싸다, 저렴하다","싸다, 저렴하다"
2203,파이어맨,"['공연', '재미', '아이', '가족', '먹다', '구매', '휴식']",8,4.5,공연,재미,아이,가족,가족
2204,샤롯데 씨어터,"['공연', '아이', '쇼핑', '먹다', '재미', '휴식', '아쿠아리움']",25,4.12,공연,아이,쇼핑,먹다,먹다
2205,드럼캣,"['재미', '공연', '아이', '친구', '구매', '가격', '엔터테인먼트']",10,4.4,재미,공연,아이,친구,친구
2206,페인터즈 히어로,"['공연', '재미', '예술', '친구', '아이', '관광지', '미술관']",28,4.8571428569999995,공연,재미,예술,친구,친구
2207,예술의전당 오페라하우스 자유소극장,"['공연', '예술', '산책', '문화', '가족', '아이', '돈']",22,4.454545455,공연,예술,산책,문화,문화
2208,판타스틱,"['공연', '재미', '친구', '관광지', '아이', '문화', '예술']",21,4.0476190480000005,공연,재미,친구,관광지,관광지
2209,국립극장,"['공연', '먹다', '음식, 식사', '산책', '예술', '싸다, 저렴하다', '자연']",19,4.421052632,공연,먹다,"음식, 식사",산책,산책
2210,LG 아트센터,"['공연', '예술', '음식, 식사', '먹다', '요리', '콘서트', '휴식']",9,4.444444444,공연,예술,"음식, 식사",먹다,먹다
2211,명동 예술 극장,"['공연', '예술', '음식, 식사', '문화', '역사', '쇼핑', '재미']",9,4.222222222,공연,예술,"음식, 식사",문화,문화
2212,충무아트센터,"['공연', '예술', '음식, 식사', '휴식', '친구', '먹다', '여유']",13,4.230769231,공연,예술,"음식, 식사",휴식,휴식
2213,시네코아비밥전용관,"['재미', '요리', '공연', '관광지', '엔터테인먼트']",3,5.0,재미,요리,공연,관광지,관광지
2214,충정로 난타극장,"['관광지', '아이', '친구', '공연', '비싸다', '먹다', '예술']",5,4.6,관광지,아이,친구,공연,공연
2215,사춤 시어터,"['친구', '재미', '호텔', '휴식', '관광지']",6,4.333333333,친구,재미,호텔,휴식,휴식
2216,마포아트센터,"['공연', '예술', '강좌', '가격', '싸다, 저렴하다', '문화', '콘서트']",8,4.375,공연,예술,강좌,가격,가격
2217,롯데콘서트홀,"['콘서트', '공연', '관광지', '휴식', '전망대', '쇼핑']",5,4.2,콘서트,공연,관광지,휴식,휴식
2218,두산아트센터 연강홀,"['공연', '음식, 식사', '영화', '나들이']",5,4.6,공연,"음식, 식사",영화,나들이,나들이
2220,비보이 시티 인 서울 - 쿵 (홍대 전용관),"['공연', '재미', '비싸다', '가격']",5,4.4,공연,재미,비싸다,가격,가격
2221,비보이를 사랑한 발레리나,['호텔'],1,3.0,호텔,Nan,Nan,Nan,Nan
2222,동숭아트센터,"['공연', '예술', '역사']",3,4.333333333,공연,예술,역사,Nan,Nan
2224,두산아트센터,"['예술', '박물관']",1,4.0,예술,박물관,Nan,Nan,Nan
2225,동양 예술 극장,['공연'],1,4.0,공연,Nan,Nan,Nan,Nan
2226,대학로 마루아트홀,"['아이', '재미', '공연']",1,5.0,아이,재미,공연,Nan,Nan
2227,성균소극장,"['공연', '휴식']",1,5.0,공연,휴식,Nan,Nan,Nan
2228,사물놀이 한울림,"['공연', '예술']",1,5.0,공연,예술,Nan,Nan,Nan
2229,Olympus Hall,[],1,4.0,Nan,Nan,Nan,Nan,Nan
2230,열린극장,"['재미', '공연']",1,5.0,재미,공연,Nan,Nan,Nan
2232,강남아트홀,['재미'],2,4.0,재미,Nan,Nan,Nan,Nan
2233,롯데 월드 예술 극장,['관광지'],2,4.0,관광지,Nan,Nan,Nan,Nan
2234,오리지널 드로잉쇼 전용관,"['친구', '공연']",2,4.0,친구,공연,Nan,Nan,Nan
2235,롯데카드 아트센터,"['공연', '음식, 식사']",1,4.0,공연,"음식, 식사",Nan,Nan,Nan
2236,Woori Financial Art Hall,"['공연', '공원', '아이']",1,4.0,공연,공원,아이,Nan,Nan
2258,별마당 도서관,"['아이', '휴식', '쇼핑', '관광지', '재미', '이벤트', '비싸다']",61,4.2459016389999995,아이,휴식,쇼핑,관광지,관광지
2260,코엑스 센터,"['쇼핑', '음식, 식사', '전시관', '먹다', '호텔', '비싸다', '영화']",69,3.927536232,쇼핑,"음식, 식사",전시관,먹다,먹다
2263,서울도서관,"['음식, 식사', '전시관', '재미', '풍경', '전망대', '궁전', '문화']",10,4.7,"음식, 식사",전시관,재미,풍경,풍경
2268,국립중앙도서관,"['음식, 식사', '전시관', '싸다, 저렴하다', '먹다', '돈', '산책', '공원']",9,4.444444444,"음식, 식사",전시관,"싸다, 저렴하다",먹다,먹다
2269,현대카드 뮤직 라이브러리,"['돈', '재미', '비싸다', '휴식', '풍경', '전시관', '문화']",7,4.285714286,돈,재미,비싸다,휴식,휴식
2273,서울특별시 교육청 정독도서관,"['음식, 식사', '싸다, 저렴하다']",1,5.0,"음식, 식사","싸다, 저렴하다",Nan,Nan,Nan
2274,도봉문화정보 도서관,[],2,4.5,Nan,Nan,Nan,Nan,Nan
2276,서울대학교 규장각,"['아이', '호텔', '박물관', '전시관', '문화']",3,3.333333333,아이,호텔,박물관,전시관,전시관
2292,롯데월드,"['아이', '재미', '놀이공원', '공원', '먹다', '음식, 식사', '휴식']",1291,3.859024012,아이,재미,놀이공원,공원,공원
2293,용마랜드,"['공원', '재미', '아이', '친구', '먹다', '자연', '이벤트']",11,4.454545455,공원,재미,아이,친구,친구
2294,롯데월드 스타 애비뉴,"['아이', '싸다, 저렴하다', '전시관', '재미', '쇼핑', '관광지', '휴식']",12,3.25,아이,"싸다, 저렴하다",전시관,재미,재미
2296,다이노스타 - 용인점,"['음식, 식사', '이벤트', '싸다, 저렴하다', '먹다', '친구']",1,3.0,"음식, 식사",이벤트,"싸다, 저렴하다",먹다,먹다
2297,디보 빌리지,['쇼핑'],1,1.0,쇼핑,Nan,Nan,Nan,Nan
2300,서울빛초롱축제,"['음식, 식사', '관광지', '재미', '전시관', '예술', '이벤트', '산책']",36,4.666666667,"음식, 식사",관광지,재미,전시관,전시관
2301,서울불꽃축제,"['공원', '재미', '엔터테인먼트', '공연', '아이', '싸다, 저렴하다', '관광지']",22,4.3636363639999995,공원,재미,엔터테인먼트,공연,공연
2302,하이서울페스티벌,"['예술', '공연', '음식, 식사', '체험', '커플', '문화', '아이']",3,4.666666667,예술,공연,"음식, 식사",체험,체험
2303,한성백제문화제,"['문화', '공원', '역사', '음식, 식사', '공연']",2,5.0,문화,공원,역사,"음식, 식사","음식, 식사"
